                                                         Subnet 3: templar                                                          
                                                           Network: test                                                            
                                                                                                                                    
 UID ┃ Stake (γ) ┃ Alpha (γ) ┃   Tao (τ) ┃ Dividends ┃ Incentive ┃ Emissions (γ) ┃ Hotkey ┃ Coldkey ┃ Identity                      
━━━━━╇━━━━━━━━━━━╇━━━━━━━━━━━╇━━━━━━━━━━━╇━━━━━━━━━━━╇━━━━━━━━━━━╇━━━━━━━━━━━━━━━╇━━━━━━━━╇━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  6  │ 845.73k γ │ 845.73k γ │    τ 0.19 │ 0.000000  │ 0.000000  │  44.260711 γ  │ 5FupG3 │ 5FupG3  │ Owner3 (*Owner)               
  7  │ 572.84k γ │ 572.84k γ │   τ 16.44 │ 0.000000  │ 0.000000  │  29.980082 γ  │ 5EHamm │ 5CoxgQ  │ CrypticMax                    
 254 │ 102.53k γ │ 102.44k γ │  τ 954.77 │ 0.000000  │ 0.000000  │  5.366115 γ   │ 5FCPTn │ 5D2d3Y  │ muv                           
 188 │  24.47k γ │  24.47k γ │    τ 0.00 │ 0.000000  │ 0.000000  │  1.280741 γ   │ 5HBCug │ 5CSufq  │ ~                             
 31  │  16.69k γ │    0.00 γ │ τ 166.90k │ 0.000000  │ 0.000000  │  0.873536 γ   │ 5GHpZt │ 5FeHkL  │ Brainlock                     
 63  │   1.53k γ │   1.38k γ │   τ 1.54k │ 0.000000  │ 0.000000  │  0.080023 γ   │ 5C86aJ │ 5GeYLB  │ Owner10                       
 23  │   1.18k γ │   1.18k γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.061585 γ   │ 5F2Ftw │ 5HKWUs  │ Rapido                        
 163 │  961.20 γ │  652.48 γ │   τ 3.09k │ 0.000000  │ 0.000000  │  0.050306 γ   │ 5CM7DY │ 5FbsFN  │ Owner97                       
 20  │  420.54 γ │  420.54 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.022009 γ   │ 5DUjpT │ 5EgvTa  │ Owner272                      
 19  │  177.58 γ │  177.58 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.009294 γ   │ 5EscZN │ 5F1TCd  │ ~                             
 12  │  106.39 γ │  106.39 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.005568 γ   │ 5E6xWP │ 5Ft89M  │ kensa                         
  0  │   47.21 γ │   47.21 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.002471 γ   │ 5G9rSr │ 5FdvVe  │ ~                             
 25  │   44.00 γ │   44.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.002303 γ   │ 5CrWRY │ 5HjVuZ  │ ~                             
 198 │   34.79 γ │   27.56 γ │   τ 72.31 │ 0.000000  │ 0.000000  │  0.001821 γ   │ 5HGnm6 │ 5FjLww  │ Owner74                       
 186 │   17.45 γ │   11.58 γ │   τ 58.72 │ 0.000000  │ 0.000000  │  0.000913 γ   │ 5G79Sp │ 5GKuqB  │ ~                             
 14  │   12.94 γ │    8.05 γ │   τ 48.92 │ 0.000000  │ 0.000000  │  0.000677 γ   │ 5Fy3Mj │ 5HJvTn  │ Neuralteq (TAO-Validator.com) 
 18  │    8.43 γ │    8.43 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000441 γ   │ 5Gwz1A │ 5F1TCd  │ ~                             
 49  │    6.16 γ │    2.55 γ │   τ 36.09 │ 0.000000  │ 0.000000  │  0.000322 γ   │ 5GmmuG │ 5G9DbK  │ Owner253                      
 27  │    5.77 γ │    5.77 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000302 γ   │ 5HR4zp │ 5GsST4  │ ~                             
 105 │    4.43 γ │    1.98 γ │   τ 24.46 │ 0.000000  │ 0.000000  │  0.000232 γ   │ 5GKE2c │ 5EA2dh  │ Owner196                      
 165 │    4.14 γ │    1.85 γ │   τ 22.86 │ 0.000000  │ 0.000000  │  0.000217 γ   │ 5DkGtf │ 5DyybL  │ ~                             
 235 │    2.11 γ │    0.95 γ │   τ 11.68 │ 0.000000  │ 0.000000  │  0.000111 γ   │ 5HmXHS │ 5EnABE  │ ~                             
 166 │    1.76 γ │    0.79 γ │    τ 9.74 │ 0.000000  │ 0.000000  │  0.000092 γ   │ 5FRKU6 │ 5Dr2PN  │ ~                             
 233 │    1.76 γ │    0.92 γ │    τ 8.37 │ 0.000000  │ 0.000000  │  0.000092 γ   │ 5HQFst │ 5EnABE  │ ~                             
 153 │    1.66 γ │    0.74 γ │    τ 9.15 │ 0.000000  │ 0.000000  │  0.000087 γ   │ 5GFCzG │ 5HDhQG  │ ~                             
 234 │    1.52 γ │    0.68 γ │    τ 8.37 │ 0.000000  │ 0.000000  │  0.000079 γ   │ 5CibiT │ 5EnABE  │ ~                             
  9  │    1.49 γ │    1.49 γ │    τ 0.02 │ 0.000000  │ 0.000000  │  0.000078 γ   │ 5GQenM │ 5G4T9V  │ Owner183                      
 156 │    0.87 γ │    0.39 γ │    τ 4.82 │ 0.000000  │ 0.000000  │  0.000046 γ   │ 5FUD6X │ 5DZqEK  │ ~                             
 33  │    0.81 γ │    0.81 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000042 γ   │ 5GERjS │ 5Ge94J  │ ~                             
 10  │    0.49 γ │    0.00 γ │    τ 4.89 │ 0.000000  │ 0.000000  │  0.000026 γ   │ 5GEXJd │ 5G4mxr  │ SuperNetOwnerGuy              
 34  │    0.44 γ │    0.40 γ │    τ 0.35 │ 0.000000  │ 0.000000  │  0.000023 γ   │ 5F1Rfy │ 5DWzwp  │ ~                             
 164 │    0.41 γ │    0.18 γ │    τ 2.24 │ 0.000000  │ 0.000000  │  0.000021 γ   │ 5EcpwD │ 5FbsFN  │ Owner97                       
 207 │    0.36 γ │    0.16 γ │    τ 2.00 │ 0.000000  │ 0.000000  │  0.000019 γ   │ 5HYVhu │ 5C7Wt4  │ ~                             
 115 │    0.36 γ │    0.16 γ │    τ 1.97 │ 0.000000  │ 0.000000  │  0.000019 γ   │ 5Cd7d6 │ 5H6chW  │ ~                             
 247 │    0.35 γ │    0.16 γ │    τ 1.94 │ 0.000000  │ 0.000000  │  0.000018 γ   │ 5CdGci │ 5GL89e  │ ~                             
 152 │    0.31 γ │    0.14 γ │    τ 1.71 │ 0.000000  │ 0.000000  │  0.000016 γ   │ 5C4qpN │ 5CXNzM  │ ~                             
 236 │    0.16 γ │    0.07 γ │    τ 0.91 │ 0.000000  │ 0.000000  │  0.000009 γ   │ 5Cu6qE │ 5EnABE  │ ~                             
 231 │    0.16 γ │    0.07 γ │    τ 0.91 │ 0.000000  │ 0.000000  │  0.000009 γ   │ 5DxyGM │ 5G1AK3  │ ~                             
 185 │    0.03 γ │    0.01 γ │    τ 0.18 │ 0.000000  │ 0.000000  │  0.000002 γ   │ 5CPR7R │ 5DCK5K  │ ~                             
 180 │    0.02 γ │    0.01 γ │    τ 0.09 │ 0.000000  │ 0.000000  │  0.000001 γ   │ 5DoKo1 │ 5FP4EW  │ ~                             
 226 │    0.01 γ │    0.00 γ │    τ 0.04 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5H4LEv │ 5GHCmk  │ ~                             
 182 │    0.01 γ │    0.00 γ │    τ 0.04 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5ENZSL │ 5Gs6BC  │ ~                             
 118 │    0.01 γ │    0.00 γ │    τ 0.03 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5H9Lz1 │ 5H4MEu  │ ~                             
 133 │    0.00 γ │    0.00 γ │    τ 0.02 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5Gp4z5 │ 5Ew8bE  │ ~                             
 158 │    0.00 γ │    0.00 γ │    τ 0.02 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5F1ywL │ 5GKuqB  │ ~                             
 11  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CrSZj │ 5FEhgZ  │ ~                             
 50  │    0.00 γ │    0.00 γ │    τ 0.01 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CPJnb │ 5F6vjR  │ ~                             
 189 │    0.00 γ │    0.00 γ │    τ 0.01 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CAdPf │ 5HjQVJ  │ ~                             
 238 │    0.00 γ │    0.00 γ │    τ 0.01 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CrHEq │ 5G43Qn  │ ~                             
 190 │    0.00 γ │    0.00 γ │    τ 0.01 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CyNWD │ 5FbzmX  │ ~                             
 195 │    0.00 γ │    0.00 γ │    τ 0.01 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5EX7aV │ 5CRjaS  │ ~                             
